"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","MEASYEAR","SUMMATION","RICHNESS","EVENNESS","DIVERSITY","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"175531444010661","59829816010538",2002,39,13,2644,2002,9,4,0.9455,1.3108,"",2009-01-12,"10661","",,""
"175531445010661","59830348010538",2002,39,15,2715,2002,24,8,1,2.0794,"",2009-01-12,"10661","",,""
"175531446010661","59832243010538",2002,39,31,4927,2002,24,8,1,2.0794,"",2009-01-12,"10661","",,""
"175531447010661","59832674010538",2002,39,35,5793,2002,4,3,0.9464,1.0397,"",2009-01-12,"10661","",,""
"175531453010661","59833508010538",2002,39,111,3407,2002,11,4,0.9904,1.373,"",2009-01-12,"10661","",,""
"175531791010661","59835507010538",2003,39,49,1720,2003,17,6,0.9836,1.7623,"",2009-01-12,"10661","",,""
"175531792010661","59835838010538",2003,39,53,2364,2003,28,10,0.9952,2.2915,"",2009-01-12,"10661","",,""
"175531793010661","59836584010538",2003,39,55,1176,2003,2,2,1,0.6931,"",2009-01-12,"10661","",,""
"175531794010661","59836717010538",2003,39,57,2961,2003,22,8,0.9936,2.0662,"",2009-01-12,"10661","",,""
"175531795010661","59838494010538",2003,39,67,4888,2003,18,7,0.9902,1.9269,"",2009-01-12,"10661","",,""
"175531796010661","59839136010538",2003,39,71,5390,2003,25,8,0.9844,2.0471,"",2009-01-12,"10661","",,""
"175531797010661","59841598010538",2003,39,87,2049,2003,29,11,0.9928,2.3805,"",2009-01-12,"10661","",,""
"175531798010661","59842149010538",2003,39,91,4513,2003,21,7,0.9622,1.8725,"",2009-01-12,"10661","",,""
"175531799010661","59842363010538",2003,39,95,3536,2003,14,6,0.9682,1.7348,"",2009-01-12,"10661","",,""
"175531784010661","59845225010538",2003,39,5,4827,2003,17,6,0.9947,1.7823,"",2009-01-12,"10661","",,""
"175531785010661","59845818010538",2003,39,7,1392,2003,3,1,,0,"",2009-01-12,"10661","",,""
"175531786010661","59846299010538",2003,39,9,2380,2003,24,9,0.9925,2.1808,"",2009-01-12,"10661","",,""
"175531443010661","59828166010538",2002,39,7,5352,2002,2,2,1,0.6931,"",2009-01-12,"10661","",,""
"175531787010661","59846862010538",2003,39,11,2083,2003,12,5,0.9426,1.5171,"",2009-01-12,"10661","",,""
"175531788010661","59847831010538",2003,39,15,3247,2003,20,7,0.9783,1.9037,"",2009-01-12,"10661","",,""
"175531789010661","59848292010538",2003,39,19,2633,2003,18,6,0.9895,1.7729,"",2009-01-12,"10661","",,""
"175531790010661","59850077010538",2003,39,31,1154,2003,17,6,0.9947,1.7823,"",2009-01-12,"10661","",,""
"175531800010661","59852459010538",2003,39,117,3433,2003,20,7,0.9736,1.8945,"",2009-01-12,"10661","",,""
"175531801010661","59853254010538",2003,39,119,1245,2003,21,7,1,1.9459,"",2009-01-12,"10661","",,""
"175531802010661","59853380010538",2003,39,121,2146,2003,10,4,0.9855,1.3662,"",2009-01-12,"10661","",,""
"175531803010661","59854367010538",2003,39,127,3072,2003,24,9,0.9925,2.1808,"",2009-01-12,"10661","",,""
"175531804010661","59855376010538",2003,39,135,1422,2003,26,11,0.9916,2.3778,"",2009-01-12,"10661","",,""
"175531805010661","59856286010538",2003,39,141,3077,2003,22,8,0.9936,2.0662,"",2009-01-12,"10661","",,""
"175531806010661","59857241010538",2003,39,145,4951,2003,24,9,0.9826,2.159,"",2009-01-12,"10661","",,""
"175531807010661","59858451010538",2003,39,155,3843,2003,8,4,0.9056,1.2555,"",2009-01-12,"10661","",,""
"175531808010661","59859396010538",2003,39,157,3047,2003,27,10,0.9934,2.2873,"",2009-01-12,"10661","",,""
"175531809010661","59860065010538",2003,39,165,2505,2003,23,9,0.9845,2.1631,"",2009-01-12,"10661","",,""
"175532122010661","59862539010538",2004,39,113,1116,2004,17,6,0.9947,1.7823,"",2009-01-12,"10661","",,""
"175532123010661","59865858010538",2004,39,141,4924,2004,24,8,1,2.0794,"",2009-01-12,"10661","",,""
"175532124010661","59867573010538",2004,39,147,4302,2004,12,4,1,1.3863,"",2009-01-12,"10661","",,""
"175532125010661","59868956010538",2004,39,155,4794,2004,8,3,0.9851,1.0822,"",2009-01-12,"10661","",,""
"175532126010661","59871051010538",2004,39,167,2121,2004,26,10,0.9719,2.238,"",2009-01-12,"10661","",,""
"175532112010661","59872676010538",2004,39,41,3878,2004,22,8,0.9936,2.0662,"",2009-01-12,"10661","",,""
"175532113010661","59873691010538",2004,39,53,3579,2004,30,10,1,2.3026,"",2009-01-12,"10661","",,""
"175532114010661","59875046010538",2004,39,59,2535,2004,21,7,1,1.9459,"",2009-01-12,"10661","",,""
"175532115010661","59875667010538",2004,39,61,2063,2004,17,6,0.9947,1.7823,"",2009-01-12,"10661","",,""
"175532116010661","59877102010538",2004,39,73,5262,2004,30,11,0.9821,2.3549,"",2009-01-12,"10661","",,""
"175532117010661","59877582010538",2004,39,75,1717,2004,33,12,0.9905,2.4613,"",2009-01-12,"10661","",,""
"175532118010661","59879090010538",2004,39,81,5147,2004,21,7,0.9917,1.9297,"",2009-01-12,"10661","",,""
"175532119010661","59880373010538",2004,39,89,1536,2004,15,5,1,1.6094,"",2009-01-12,"10661","",,""
"175532120010661","59882113010538",2004,39,103,4704,2004,11,4,0.9904,1.373,"",2009-01-12,"10661","",,""
"175532121010661","59882851010538",2004,39,107,4902,2004,21,7,0.9917,1.9297,"",2009-01-12,"10661","",,""
"175532108010661","59885224010538",2004,39,13,4479,2004,22,8,0.9936,2.0662,"",2009-01-12,"10661","",,""
"175532109010661","59886638010538",2004,39,25,5374,2004,26,9,0.9911,2.1776,"",2009-01-12,"10661","",,""
"175532110010661","59886738010538",2004,39,27,3456,2004,11,4,0.9904,1.373,"",2009-01-12,"10661","",,""
"175532111010661","59887136010538",2004,39,29,2347,2004,16,7,0.9905,1.9274,"",2009-01-12,"10661","",,""
"175532266010661","66400505010538",2005,39,15,4442,2005,32,12,0.9802,2.4358,"",2009-01-12,"10661","",,""
"175532267010661","66400768010538",2005,39,19,1299,2005,16,8,0.9685,2.014,"",2009-01-12,"10661","",,""
"175532268010661","66401283010538",2005,39,21,2936,2005,24,9,0.9925,2.1808,"",2009-01-12,"10661","",,""
"175532269010661","66402727010538",2005,39,33,4995,2005,30,12,0.9708,2.4124,"",2009-01-12,"10661","",,""
"175532270010661","66404522010538",2005,39,37,1088,2005,14,5,0.9931,1.5984,"",2009-01-12,"10661","",,""
"175532271010661","66406855010538",2005,39,59,5447,2005,41,15,0.9854,2.6686,"",2009-01-12,"10661","",,""
"175532272010661","66407100010538",2005,39,61,2287,2005,19,10,0.9457,2.1776,"",2009-01-12,"10661","",,""
"175532273010661","66407916010538",2005,39,67,1501,2005,31,11,0.9887,2.3708,"",2009-01-12,"10661","",,""
"175532274010661","66407994010538",2005,39,69,5636,2005,17,7,0.9578,1.8638,"",2009-01-12,"10661","",,""
"175532275010661","66409182010538",2005,39,73,1771,2005,39,16,0.9732,2.6984,"",2009-01-12,"10661","",,""
"175531442010661","59827371010538",2002,39,1,5656,2002,28,10,0.9952,2.2915,"",2009-01-12,"10661","",,""
"175532276010661","66410984010538",2005,39,87,1355,2005,34,12,0.99,2.4601,"",2009-01-12,"10661","",,""
"175532277010661","66412678010538",2005,39,99,3684,2005,14,7,0.9424,1.8338,"",2009-01-12,"10661","",,""
"175532278010661","66413241010538",2005,39,105,2390,2005,21,9,0.9571,2.1029,"",2009-01-12,"10661","",,""
"175532279010661","66414281010538",2005,39,113,3539,2005,12,5,0.9602,1.5454,"",2009-01-12,"10661","",,""
"175532280010661","66415946010538",2005,39,119,2977,2005,32,14,0.962,2.5388,"",2009-01-12,"10661","",,""
"175532281010661","66416953010538",2005,39,129,4055,2005,34,12,0.9962,2.4755,"",2009-01-12,"10661","",,""
"175532282010661","66419770010538",2005,39,145,2326,2005,33,13,0.9738,2.4978,"",2009-01-12,"10661","",,""
"175532283010661","66420013010538",2005,39,147,4936,2005,2,1,,0,"",2009-01-12,"10661","",,""
"175532284010661","66422502010538",2005,39,163,2417,2005,44,16,0.9909,2.7474,"",2009-01-12,"10661","",,""
"175532285010661","66422980010538",2005,39,165,2886,2005,25,9,0.985,2.1642,"",2009-01-12,"10661","",,""
"175531148010661","59780449010538",2001,39,1,561,2001,32,11,0.9977,2.3925,"",2009-01-12,"10661","",,""
"175531149010661","59781089010538",2001,39,7,120,2001,6,2,1,0.6931,"",2009-01-12,"10661","",,""
"175531150010661","59782247010538",2001,39,9,598,2001,41,14,0.9984,2.6347,"",2009-01-12,"10661","",,""
"175531151010661","59784375010538",2001,39,25,401,2001,26,9,0.997,2.1907,"",2009-01-12,"10661","",,""
"175531152010661","59784920010538",2001,39,29,606,2001,21,7,1,1.9459,"",2009-01-12,"10661","",,""
"175531153010661","59786192010538",2001,39,41,574,2001,13,5,0.9886,1.5911,"",2009-01-12,"10661","",,""
"175531154010661","59787135010538",2001,39,53,778,2001,41,14,0.9984,2.6347,"",2009-01-12,"10661","",,""
"175531155010661","59788852010538",2001,39,61,506,2001,16,6,0.9908,1.7753,"",2009-01-12,"10661","",,""
"175531156010661","59789167010538",2001,39,67,363,2001,29,12,0.9918,2.4644,"",2009-01-12,"10661","",,""
"175531157010661","59790455010538",2001,39,73,197,2001,24,9,0.9826,2.159,"",2009-01-12,"10661","",,""
"175531158010661","59792161010538",2001,39,83,604,2001,24,10,0.9911,2.2822,"",2009-01-12,"10661","",,""
"175531159010661","59792877010538",2001,39,87,319,2001,51,17,0.9976,2.8266,"",2009-01-12,"10661","",,""
"175531160010661","59796133010538",2001,39,111,537,2001,24,8,1,2.0794,"",2009-01-12,"10661","",,""
"175531161010661","59799485010538",2001,39,133,64,2001,12,6,0.9757,1.7482,"",2009-01-12,"10661","",,""
"175531162010661","59801189010538",2001,39,145,33,2001,35,12,0.998,2.4799,"",2009-01-12,"10661","",,""
"175531163010661","59804300010538",2001,39,167,404,2001,20,8,0.9903,2.0593,"",2009-01-12,"10661","",,""
"175531454010661","59806958010538",2002,39,115,3640,2002,21,7,1,1.9459,"",2009-01-12,"10661","",,""
"175531455010661","59807612010538",2002,39,119,1949,2002,24,9,0.9826,2.159,"",2009-01-12,"10661","",,""
"175531456010661","59809293010538",2002,39,131,2188,2002,27,10,0.985,2.2679,"",2009-01-12,"10661","",,""
"175531457010661","59811100010538",2002,39,141,5316,2002,17,7,0.9895,1.9254,"",2009-01-12,"10661","",,""
"175531458010661","59811889010538",2002,39,145,2227,2002,27,9,1,2.1972,"",2009-01-12,"10661","",,""
"175531459010661","59813781010538",2002,39,155,5061,2002,5,3,0.865,0.9503,"",2009-01-12,"10661","",,""
"175531460010661","59815863010538",2002,39,167,2110,2002,17,6,0.9947,1.7823,"",2009-01-12,"10661","",,""
"175531448010661","59821617010538",2002,39,73,4384,2002,18,7,0.9753,1.8978,"",2009-01-12,"10661","",,""
"175531449010661","59822682010538",2002,39,79,2106,2002,16,6,0.9726,1.7426,"",2009-01-12,"10661","",,""
"175531450010661","59823251010538",2002,39,81,2843,2002,16,6,0.9306,1.6675,"",2009-01-12,"10661","",,""
"175531451010661","59825609010538",2002,39,99,5047,2002,21,8,0.9915,2.0618,"",2009-01-12,"10661","",,""
"175531452010661","59826469010538",2002,39,105,2981,2002,39,16,0.9781,2.7118,"",2009-01-12,"10661","",,""
