"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","MEASDAY","MEASMON","MEASYEAR","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","QA_STATUS"
"76468303010538","59780449010538",2001,39,1,561,23,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468304010538","59781089010538",2001,39,7,120,14,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468306010538","59782247010538",2001,39,9,598,17,7,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468309010538","59784375010538",2001,39,25,401,22,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468310010538","59784920010538",2001,39,29,606,27,6,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468312010538","59785584010538",2001,39,35,575,12,7,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468314010538","59786192010538",2001,39,41,574,7,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468315010538","59787135010538",2001,39,53,778,19,7,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468317010538","59788852010538",2001,39,61,506,21,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468318010538","59789167010538",2001,39,67,363,24,7,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468320010538","59790455010538",2001,39,73,197,1,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468323010538","59792161010538",2001,39,83,604,31,7,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468324010538","59792877010538",2001,39,87,319,29,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468328010538","59796133010538",2001,39,111,537,26,6,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468332010538","59799485010538",2001,39,133,64,11,7,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468335010538","59801189010538",2001,39,145,33,16,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468338010538","59803170010538",2001,39,157,295,20,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468339010538","59804300010538",2001,39,167,404,8,8,2001,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468302010538","59827371010538",2002,39,1,5656,18,7,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468305010538","59828166010538",2002,39,7,5352,1,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468307010538","59829816010538",2002,39,13,2644,12,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468308010538","59830348010538",2002,39,15,2715,27,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468311010538","59832243010538",2002,39,31,4927,20,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468313010538","59832674010538",2002,39,35,5793,21,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468316010538","59819472010538",2002,39,59,1944,14,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468319010538","59821617010538",2002,39,73,4384,7,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468321010538","59822682010538",2002,39,79,2106,8,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468322010538","59823251010538",2002,39,81,2843,12,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468325010538","59825609010538",2002,39,99,5047,22,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468326010538","59826469010538",2002,39,105,2981,5,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468327010538","59833508010538",2002,39,111,3407,14,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468329010538","59806958010538",2002,39,115,3640,13,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468330010538","59807612010538",2002,39,119,1949,6,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468331010538","59809293010538",2002,39,131,2188,24,7,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468333010538","59811100010538",2002,39,141,5316,16,7,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468334010538","59811889010538",2002,39,145,2227,26,8,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468336010538","59813380010538",2002,39,153,3576,31,7,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468337010538","59813781010538",2002,39,155,5061,30,7,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"76468340010538","59815863010538",2002,39,167,2110,11,7,2002,"",2007-11-29,"10661","",2019-06-13,"126144",
"54178827010538","59845225010538",2003,39,5,4827,10,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54181015010538","59845818010538",2003,39,7,1392,16,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54174360010538","59846299010538",2003,39,9,2380,30,6,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54179486010538","59846862010538",2003,39,11,2083,12,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54173050010538","59847831010538",2003,39,15,3247,30,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54177456010538","59848292010538",2003,39,19,2633,25,6,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54177736010538","59849784010538",2003,39,29,5665,26,6,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54178157010538","59850077010538",2003,39,31,1154,17,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54175685010538","59835507010538",2003,39,49,1720,14,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54174184010538","59835838010538",2003,39,53,2364,21,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54181236010538","59836584010538",2003,39,55,1176,15,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54176112010538","59836717010538",2003,39,57,2961,5,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54177783010538","59838494010538",2003,39,67,4888,23,6,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54175353010538","59839136010538",2003,39,71,5390,23,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54172302010538","59841598010538",2003,39,87,2049,1,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54179159010538","59842149010538",2003,39,91,4513,13,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54181438010538","59842363010538",2003,39,95,3536,20,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54179116010538","59852459010538",2003,39,117,3433,19,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54173995010538","59853254010538",2003,39,119,1245,18,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54173676010538","59853380010538",2003,39,121,2146,23,6,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54174973010538","59854367010538",2003,39,127,3072,28,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54176486010538","59855376010538",2003,39,135,1422,11,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54174688010538","59856286010538",2003,39,141,3077,2,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54172658010538","59857241010538",2003,39,145,4951,22,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54180900010538","59858451010538",2003,39,155,3843,27,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54178510010538","59859396010538",2003,39,157,3047,9,7,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"54175825010538","59860065010538",2003,39,165,2505,6,8,2003,"",2006-08-16,"10538","",2019-06-13,"126144",
"56709376010538","59884897010538",2004,39,13,3399,22,7,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56708360010538","59885224010538",2004,39,13,4479,21,7,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56707340010538","59886638010538",2004,39,25,5374,24,6,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56708502010538","59886738010538",2004,39,27,3456,23,6,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56709457010538","59887136010538",2004,39,29,2347,3,8,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56709628010538","59872676010538",2004,39,41,3878,30,6,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56707297010538","59873691010538",2004,39,53,3579,8,7,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56709546010538","59875046010538",2004,39,59,2535,15,7,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56708557010538","59875667010538",2004,39,61,2063,28,6,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56708405010538","59877102010538",2004,39,73,5262,19,7,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56709660010538","59877582010538",2004,39,75,1717,14,7,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56711429010538","59878049010538",2004,39,77,3789,27,7,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56709409010538","59879090010538",2004,39,81,5147,4,8,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56709581010538","59880373010538",2004,39,89,1536,1,7,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56711387010538","59882113010538",2004,39,103,4704,28,7,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56709706010538","59882851010538",2004,39,107,4902,5,8,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56708605010538","59862539010538",2004,39,113,1116,29,6,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56708455010538","59865858010538",2004,39,141,4924,22,6,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56711455010538","59867573010538",2004,39,147,4302,26,7,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56711319010538","59868956010538",2004,39,155,4794,29,7,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56708315010538","59871051010538",2004,39,167,2121,12,7,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"56708292010538","59871176010538",2004,39,167,3682,12,7,2004,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051277010538","66400505010538",2005,39,15,4442,11,7,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051509010538","66400768010538",2005,39,19,1299,28,6,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051540010538","66401283010538",2005,39,21,2936,18,7,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051533010538","66402727010538",2005,39,33,4995,3,8,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051546010538","66404522010538",2005,39,37,1088,19,7,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051517010538","66406855010538",2005,39,59,5447,30,6,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051458010538","66407100010538",2005,39,61,2287,12,7,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051525010538","66407916010538",2005,39,67,1501,29,6,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051719010538","66407994010538",2005,39,69,5636,26,7,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051434010538","66409182010538",2005,39,73,1771,16,6,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051261010538","66410984010538",2005,39,87,1355,22,6,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051698010538","66412678010538",2005,39,99,3684,6,7,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051243010538","66413241010538",2005,39,105,2390,21,6,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051474010538","66414281010538",2005,39,113,3539,14,7,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051450010538","66415946010538",2005,39,119,2977,20,6,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051417010538","66416242010538",2005,39,121,4839,25,7,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051441010538","66416953010538",2005,39,129,4055,1,8,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051270010538","66419770010538",2005,39,145,2326,23,6,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051711010538","66420013010538",2005,39,147,4936,27,7,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051426010538","66422502010538",2005,39,163,2417,15,6,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"62051467010538","66422980010538",2005,39,165,2886,13,7,2005,"",2006-08-16,"10538","",2019-06-13,"126144",
"211868233020004","247063599010661",2012,39,1,561,28,6,2012,"",2013-07-15,"20004","",2019-06-13,"126144",1
"211874677020004","247063873010661",2012,39,7,120,18,9,2012,"",2013-07-15,"20004","",2019-06-13,"126144",1
"211873524020004","247063836010661",2012,39,9,598,6,6,2012,"",2013-07-15,"20004","",2019-06-13,"126144",1
"211866270020004","247063335010661",2012,39,17,722,19,6,2012,"",2013-07-15,"20004","",2019-06-13,"126144",1
"211877378020004","247063962010661",2012,39,29,606,19,6,2012,"",2013-07-15,"20004","",2019-06-13,"126144",1
"211865336020004","247063223010661",2012,39,35,575,8,8,2012,"",2013-07-15,"20004","",2019-06-13,"126144",1
"211873910020004","247063844010661",2012,39,53,778,5,6,2012,"",2013-07-15,"20004","",2019-06-13,"126144",1
"211874547020004","247063864010661",2012,39,59,225,28,6,2012,"",2013-07-15,"20004","",2019-06-13,"126144",1
"211866479020004","247063340010661",2012,39,61,506,14,6,2012,"",2013-07-15,"20004","",2019-06-13,"126144",1
"211877565020004","247063968010661",2012,39,67,363,11,7,2012,"",2013-07-15,"20004","",2019-06-13,"126144",1
"211870604020004","247063725010661",2012,39,73,197,8,8,2012,"",2013-07-15,"20004","",2019-06-13,"126144",1
"211871406020004","247063758010661",2012,39,83,604,18,7,2012,"",2013-07-15,"20004","",2019-06-13,"126144",1
"211874194020004","247063849010661",2012,39,87,319,22,8,2012,"",2013-07-15,"20004","",2019-06-13,"126144",1
"211876795020004","247063945010661",2012,39,111,537,26,7,2012,"",2013-07-15,"20004","",2019-06-13,"126144",1
"211874826020004","247063879010661",2012,39,133,64,20,6,2012,"",2013-07-15,"20004","",2019-06-13,"126144",1
"211869872020004","247063695010661",2012,39,145,33,26,6,2012,"",2013-07-15,"20004","",2019-06-13,"126144",1
"211877145020004","247063951010661",2012,39,167,404,19,6,2012,"",2013-07-15,"20004","",2019-06-13,"126144",1
"271061665489998","16232407020004",2013,39,1,5656,18,6,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271071034489998","16232912020004",2013,39,13,2644,22,5,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271062973489998","16232500020004",2013,39,15,2715,10,7,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271065373489998","16232740020004",2013,39,31,4927,22,8,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271070079489998","16232880020004",2013,39,59,1944,24,6,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271075110489998","16233044020004",2013,39,73,4384,24,9,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271075570489998","16233051020004",2013,39,79,2106,2,7,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271074823489998","16233038020004",2013,39,99,5047,29,7,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271074396489998","16233029020004",2013,39,105,2981,12,7,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271071339489998","16232918020004",2013,39,111,3407,24,7,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271073743489998","16233015020004",2013,39,119,1949,20,6,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271073929489998","16233019020004",2013,39,127,918,16,7,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271061293489998","16232402020004",2013,39,131,2188,5,7,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271061757489998","16232416020004",2013,39,139,3570,23,8,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271065859489998","16232760020004",2013,39,141,5316,30,8,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271069413489998","16232862020004",2013,39,145,2227,29,5,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271075687489998","16233054020004",2013,39,153,3576,3,6,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271074553489998","16233032020004",2013,39,155,5061,22,5,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"271076612489998","16233083020004",2013,39,167,2110,18,7,2013,"",2014-07-22,"489998","",2019-06-13,"126144",1
"334955716489998","171867917020004",2014,39,5,4827,16,9,2014,"",2015-06-01,"489998","",2019-06-13,"126144",1
"334960952489998","171868088020004",2014,39,9,2380,18,8,2014,"",2015-06-01,"489998","",2019-06-13,"126144",1
"334951672489998","171867720020004",2014,39,11,2083,1,7,2014,"",2015-06-01,"489998","",2019-06-13,"126144",1
"334952045489998","171867746020004",2014,39,15,3247,18,6,2014,"",2015-06-01,"489998","",2019-06-13,"126144",1
"334956803489998","171867937020004",2014,39,19,2633,16,7,2014,"",2015-06-01,"489998","",2019-06-13,"126144",1
"334959779489998","171868044020004",2014,39,29,5665,13,5,2014,"",2015-06-01,"489998","",2019-06-13,"126144",1
"334949976489998","171867601020004",2014,39,49,1720,25,8,2014,"",2015-06-01,"489998","",2019-06-13,"126144",1
"334953976489998","171867849020004",2014,39,55,1176,12,8,2014,"",2015-06-01,"489998","",2019-06-13,"126144",1
"334956022489998","171867923020004",2014,39,87,2049,31,7,2014,"",2015-06-01,"489998","",2019-06-13,"126144",1
"334949190489998","171867451020004",2014,39,91,4513,1,7,2014,"",2015-06-01,"489998","",2019-06-13,"126144",1
"334950245489998","171867622020004",2014,39,95,3536,30,6,2014,"",2015-06-01,"489998","",2019-06-13,"126144",1
"334948903489998","171867407020004",2014,39,117,3433,2,7,2014,"",2015-06-01,"489998","",2019-06-13,"126144",1
"334947785489998","171867303020004",2014,39,127,3072,11,9,2014,"",2015-06-01,"489998","",2019-06-13,"126144",1
"334953083489998","171867816020004",2014,39,141,3077,19,8,2014,"",2015-06-01,"489998","",2019-06-13,"126144",1
"381537285489998","251630448489998",2015,39,25,5374,23,6,2015,"",2016-03-25,"489998","",2019-06-13,"126144",1
"381532213489998","171867797020004",2015,39,31,1154,5,7,2015,"",2016-03-25,"489998","",2019-06-13,"126144",1
"381531636489998","171867643020004",2015,39,57,2961,18,8,2015,"",2016-03-25,"489998","",2019-06-13,"126144",1
"381537609489998","251630477489998",2015,39,61,2063,25,6,2015,"",2016-03-25,"489998","",2019-06-13,"126144",1
"381531883489998","171867740020004",2015,39,71,5390,26,5,2015,"",2016-03-25,"489998","",2019-06-13,"126144",1
"381540817489998","251630631489998",2015,39,73,5262,28,5,2015,"",2016-03-25,"489998","",2019-06-13,"126144",1
"381536649489998","251630364489998",2015,39,103,4704,8,8,2015,"",2016-03-25,"489998","",2019-06-13,"126144",1
"381533630489998","171867900020004",2015,39,119,1245,20,6,2015,"",2016-03-25,"489998","",2019-06-13,"126144",1
"381531502489998","171867616020004",2015,39,135,1422,30,7,2015,"",2016-03-25,"489998","",2019-06-13,"126144",1
"381534381489998","171867977020004",2015,39,145,4951,27,5,2015,"",2016-03-25,"489998","",2019-06-13,"126144",1
"381532094489998","171867791020004",2015,39,157,3047,10,8,2015,"",2016-03-25,"489998","",2019-06-13,"126144",1
"469327593489998","306266633489998",2016,39,13,4479,23,8,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"469318092489998","306266188489998",2016,39,27,3456,24,5,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"469328167489998","306266649489998",2016,39,41,3878,1,9,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"469326116489998","306266580489998",2016,39,53,3579,26,7,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"469322606489998","306266465489998",2016,39,59,2204,7,6,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"469322458489998","306266461489998",2016,39,59,2535,11,7,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"469319976489998","306266365489998",2016,39,61,2287,1,6,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"469323057489998","306266486489998",2016,39,75,1717,14,7,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"469320614489998","306266387489998",2016,39,77,3789,18,9,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"469322147489998","306266444489998",2016,39,89,1536,20,9,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"469321091489998","306266415489998",2016,39,105,2390,16,7,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"469319157489998","306266282489998",2016,39,107,4902,4,9,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"469317913489998","306266171489998",2016,39,113,1116,3,6,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"469316975489998","306266116489998",2016,39,141,4924,25,5,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"469318664489998","306266244489998",2016,39,147,4302,18,9,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"469326548489998","306266590489998",2016,39,155,4794,24,8,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"469324427489998","306266530489998",2016,39,167,2121,8,6,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"469324520489998","306266531489998",2016,39,167,3682,9,6,2016,"",2017-05-11,"489998","",2019-06-13,"126144",1
"530825053126144","375550013489998",2017,39,15,4442,23,9,2017,"",2018-04-17,"126144","",2019-06-13,"126144",1
"530818822126144","375549848489998",2017,39,19,1299,29,8,2017,"",2018-04-17,"126144","",2019-06-13,"126144",1
"530821452126144","375549475489998",2017,39,37,1088,17,6,2017,"",2018-04-17,"126144","",2019-06-13,"126144",1
"530827929126144","375549669489998",2017,39,43,1882,15,8,2017,"",2018-04-17,"126144","",2019-06-13,"126144",1
"530824249126144","375549981489998",2017,39,59,5447,26,9,2017,"",2018-04-17,"126144","",2019-06-13,"126144",1
"530824105126144","375549978489998",2017,39,67,1501,27,9,2017,"",2018-04-17,"126144","",2019-06-13,"126144",1
"530826736126144","375549579489998",2017,39,69,5636,16,8,2017,"",2018-04-17,"126144","",2019-06-13,"126144",1
"530824825126144","375550002489998",2017,39,73,1771,31,8,2017,"",2018-04-17,"126144","",2019-06-13,"126144",1
"530818607126144","375549844489998",2017,39,87,1355,18,6,2017,"",2018-04-17,"126144","",2019-06-13,"126144",1
"530823750126144","375549512489998",2017,39,113,3539,24,9,2017,"",2018-04-17,"126144","",2019-06-13,"126144",1
"530821958126144","375549936489998",2017,39,119,2977,14,6,2017,"",2018-04-17,"126144","",2019-06-13,"126144",1
"530828260126144","375549739489998",2017,39,129,4055,13,7,2017,"",2018-04-17,"126144","",2019-06-13,"126144",1
"530816479126144","375549770489998",2017,39,145,2326,21,5,2017,"",2018-04-17,"126144","",2019-06-13,"126144",1
"657544723126144","463049170489998",2018,39,19,378,22,8,2018,"",2019-04-26,"126144","",2019-06-13,"126144",1
"530823034126144","375549962489998",2017,39,163,2417,31,8,2017,"",2018-04-17,"126144","",2019-06-13,"126144",1
"657547239126144","463048805489998",2018,39,1,599,27,7,2018,"",2019-04-26,"126144","",2019-06-13,"126144",1
"657540329126144","463048962489998",2018,39,11,41,11,9,2018,"",2019-04-26,"126144","",2019-06-13,"126144",1
"657544914126144","463049176489998",2018,39,29,209,25,7,2018,"",2019-04-26,"126144","",2019-06-13,"126144",1
"657540571126144","463048985489998",2018,39,67,651,5,9,2018,"",2019-04-26,"126144","",2019-06-13,"126144",1
"657544161126144","463049144489998",2018,39,105,556,24,7,2018,"",2019-04-26,"126144","",2019-06-13,"126144",1
"657549430126144","463048680489998",2018,39,121,4839,20,8,2018,"",2019-04-26,"126144","",2019-06-13,"126144",1
"657543642126144","463049114489998",2018,39,141,691,7,8,2018,"",2019-04-26,"126144","",2019-06-13,"126144",1
"657545041126144","463049180489998",2018,39,155,542,27,8,2018,"",2019-04-26,"126144","",2019-06-13,"126144",1
"657540909126144","463049012489998",2018,39,155,866,28,8,2018,"",2019-04-26,"126144","",2019-06-13,"126144",1
"657546440126144","463048616489998",2018,39,165,644,26,7,2018,"",2019-04-26,"126144","",2019-06-13,"126144",1
